Id, Name, Grade_math, Grade_cs
3257,hi,185.2,245.9
3258,eg,-120.8,65.4
3259,cm,5.1,61.3
3260,nd,-73.4,7.2
3261,nc,18.4,-206.6
3262,gf,2.8,15.4
3263,fe,55.9,28.6
3264,nh,-9.2,30.2
3265,jd,-32.2,-45.6
3266,ad,22.7,65.5
3267,ka,-2.6,-73
3268,fn,17.1,-80.3
3269,ib,-55.4,31.7
3270,nf,17.8,29.3
3271,ad,-22.4,47.9
3272,mm,-72.3,53.9
3273,bh,-89.6,92
3274,ng,352.9,115.9
3275,mg,176.5,240.8
3276,dl,-15.9,60.9
3277,kf,74.3,58.2
3278,ag,-46,93.8
3279,ef,-84.4,-56
3280,mn,114.3,36.4
3281,mk,5.1,-88.9
3282,mh,-47.8,62.8
3283,fg,110.3,134.5
3284,gg,-6.7,-77.4
3285,df,259.2,146.4
3286,lf,-45.9,94.2
3287,kl,-59.1,56.3
3288,mh,36.6,19.3
3289,de,15,-15.8
3290,fl,-9.7,56.2
3291,mi,9.9,12.8
3292,ib,9.4,99.1
3293,mk,5,36.6
3294,mg,129.2,26.5
3295,kk,42.4,211.4
3296,ie,80,233.1
3297,an,173.7,56.2
3298,hg,-10.6,64.7
3299,eb,-9,52.9
3300,kd,2.6,-42.5
3301,bi,93.7,168.2
3302,li,12.7,-137.7
3303,li,-80.4,-49.1
3304,fj,52.4,-40
3305,lk,53.1,-15.3
3306,ha,10.1,92.2
3307,gi,183.2,5.1
3308,fb,124.4,146.6
3309,jh,28.6,73.5
3310,ma,10.2,-251.8
3311,gk,-19.2,78
3312,hk,-51.7,65.9
3313,lf,3.8,42.2
3314,bi,45.9,143
3315,ck,173.1,84.6
3316,hm,11.1,-230.9
3317,mf,-49.3,24.7
3318,cd,-59.5,72.4
3319,fl,-95.5,15.9
3320,kj,17.5,52
3321,mn,153.9,129.5
3322,nk,6.5,-56.8
3323,hi,3.9,95
3324,lk,107.9,6.1
3325,le,15.3,38.8
3326,dh,7.9,28
3327,gh,17.5,41.8
3328,ec,71.7,91.6
3329,dd,-76.8,-10.9
3330,ld,1.2,-10.8
3331,na,208.5,18.1
3332,mb,-31,43.7
3333,bf,-0.7,60.7
3334,ji,-101.1,68.5
3335,de,-17.8,-173.8
3336,bg,0.6,86.5
3337,kh,-6.6,190.8
3338,cc,59,195.6
3339,ie,-31.5,-31.4
3340,cb,63.4,-232.1
3341,ea,45.9,40.1
3342,ne,26.1,54.4
3343,ie,11.8,34.2
3344,dk,120.4,123.7
3345,fc,2.5,-76.9
3346,fn,63.6,-72.9
3347,jc,-8.2,-35.2
3348,jb,-18.3,103
3349,ih,28.1,71.8
3350,me,-7.1,92.9
3351,gn,14.3,71.3
3352,ei,-53.3,90.6
3353,jl,-1.8,-11.5
3354,be,-12.5,-67.3
3355,ac,-192.8,15
3356,fj,-1.6,80.3
3357,bd,-26.9,11.1
3358,ci,52.7,99
3359,fd,353.1,13
3360,mm,-29.3,-63
3361,mk,-1.8,-24.9
3362,kc,72.9,37.4
3363,mc,124.4,314.5
3364,na,2.3,54.8
3365,fh,45.3,-42.1
3366,jl,40.1,33.8
3367,hk,-23,80.7
3368,gc,2.8,59.5
3369,ci,-0.8,74.2
3370,hn,87.1,32.8
3371,jb,-60.8,61.5
3372,jn,111.2,-131.8
3373,bm,54.4,-89.6
3374,gl,-76.8,-56.8
3375,de,183.1,61.5
3376,hm,-11.2,71
3377,il,-34.7,224
3378,ik,8,11.8
3379,bi,-2.2,35
3380,la,-33.4,56.9
3381,ln,70.3,76.9
3382,bl,23.5,66.9
3383,ef,144,-17.7
3384,nj,-21.9,13.6
3385,de,52.2,60.9
3386,hb,115.5,20.3
3387,gj,2.3,54.4
3388,jj,-40.2,74.8
3389,el,57.9,-122.1
3390,dl,189.3,98.1
3391,bf,5,43.4
3392,gk,4.5,-233.8
3393,jm,165.3,53.7
3394,dc,-14.1,44.4
3395,aj,-37.6,18.6
3396,fi,23.4,19.5
3397,gg,-29.8,50.7
3398,jf,-0.9,26.7
3399,fa,-17.1,43.8
3400,cc,167.1,30.8
3401,bd,50.1,-90.1
3402,nk,34.2,-61.9
3403,kj,-119.2,-29.6
3404,je,30.8,-9.9
3405,cf,-19.4,60.9
3406,fb,105.4,189.4
3407,lc,-23.9,51.9
3408,dl,126,210
3409,je,132,83.9
3410,gb,83.4,173.3
3411,hk,61,-39.2
3412,md,11.9,247.2
3413,la,9.8,151.3
3414,hk,-36.6,-16.8
3415,de,-9.9,164.3
3416,ac,12.3,38.7
3417,ab,-51.5,28.3
3418,kh,61,248.3
3419,ee,-135.7,65.8
3420,cg,38.9,74.8
3421,bg,108.2,-3.6
3422,da,227.6,151.1
3423,dm,53,22.1
3424,hh,15.9,77
3425,hn,-2.5,-81.4
3426,ai,80.1,235.4
3427,el,236.6,40.1
3428,fb,-21.6,80.1
3429,di,87.4,69.3
3430,ek,-2.4,-140.8
3431,ja,224.8,67.4
3432,ah,1.5,85.8
3433,ag,5.1,28.6
3434,ea,85.3,-46
3435,fe,-11.8,8.3
3436,ki,15.8,7.1
3437,hh,-38,-80.8
3438,hn,-31.5,-109.7
3439,jh,2.6,85.3
3440,fn,99.2,-42.4
3441,hl,43.8,83.7
3442,ie,-8.7,95.9
3443,fe,62.2,-55.7
3444,da,-2.4,10.8
3445,km,224.7,55.7
3446,eg,-18.7,26.7
3447,fn,197.8,88.8
3448,ia,-45.2,19.7
3449,da,-86.5,49.3
3450,ml,5.4,1
3451,fc,105.9,203.8
3452,nm,45.1,-68.8
3453,lh,101.1,99.1
3454,dh,34.2,28.3
3455,ia,3.4,23.3
3456,gi,6.5,38.1
3457,db,-43.7,126.7
3458,ng,-6,8.8
3459,hj,53.7,76
3460,aa,186.2,150.9
3461,jm,-2.8,-83
3462,je,-23.1,67.3
3463,ch,-146.5,-54.7
3464,dm,6.7,-82.6
3465,hf,140.8,-183.4
3466,cf,14.2,93.9
3467,ne,32.6,-146.6
3468,ge,-97.2,95.8
3469,kg,10.4,-175.2
3470,ci,188.4,20.8
3471,hg,88.4,111.7
3472,ik,29.5,91.7
3473,if,46.7,-43.8
3474,ik,-47.3,-7.6
3475,aa,13.8,-24.4
3476,fa,80.1,102.2
3477,gg,51.2,90.3
3478,li,20.8,14.3
3479,ad,68.5,73.5
3480,aa,-34.1,22.9
3481,an,249.7,162.1
3482,hb,-4,71.6
3483,en,44.8,34.7
3484,be,180.6,100.9
3485,ng,47.2,50.8
3486,hg,6.8,20.5
3487,dj,1.5,43.7
3488,ae,-18.4,-82.3
3489,ba,80.1,21.5
3490,ii,46.5,57.2
3491,nb,-38.1,22.3
3492,jl,0.2,50.6
3493,in,181.9,14.3
3494,ij,8,69.8
3495,ih,-38.8,-30.7
3496,fj,-16.5,36.1
3497,ji,13.4,1.2
3498,nb,23.2,11.4
3499,mm,89.5,-58.4
3500,ml,74.6,153.9
3501,ei,-42.2,13.6
3502,fi,1.4,33.3
3503,al,121,106.2
3504,bb,182,-21.8
3505,dl,58.2,63.4
3506,mm,5,-9.7
3507,ak,-105.8,-31.3
3508,md,66.3,74.6
3509,fh,-49.6,2.8
3510,nm,178.9,-25.2
3511,ka,161.2,-36.5
3512,kc,-43.7,-171.1
3513,ij,-59,10.8
3514,eb,47.3,77.4
3515,lf,-104.7,45
3516,ml,-38.8,53.7
3517,ke,189.1,161.3
3518,ag,1.1,43.9
3519,ia,55.3,62.4
3520,hi,-128,51.2
3521,nh,-18.3,51.3
3522,gj,-19.9,54.3
3523,kl,149.4,149.4
3524,ln,101.6,21.3
3525,ci,180.1,88.3
3526,ma,71.2,17.9
3527,cl,2.9,64
3528,cd,-1.8,9.4
3529,ki,2.9,15.8
3530,al,50.3,82.8
3531,ma,51.5,-69.3
3532,bn,15.3,-62
3533,ed,3.3,81.6
3534,dk,-37.4,84.5
3535,gh,-14.6,21.3
3536,bj,17.1,76.2
3537,gf,-70.4,38
3538,dj,207.3,49
3539,ad,1.3,50.7
3540,fi,127.6,63.3
3541,mm,40.9,86.9
3542,mj,-5.3,1.7
3543,hl,-94.4,76.5
3544,lb,63.9,172.5
3545,ab,154.1,139.1
3546,ba,-8.9,2.1
3547,ad,-8.4,6
3548,hi,53,7.5
3549,eg,32.2,61.2
3550,je,255.1,88.6
3551,hg,-135.3,92.3
3552,jj,233.1,258.7
3553,el,-24.6,-86.3
3554,mg,187.4,136.6
3555,db,-21,40.6
3556,mm,-3.3,126.8
3557,gh,22.2,56.9
3558,ab,133.7,106.9
3559,af,1.9,51.3
3560,ki,-52.1,46.5
3561,ik,169.5,264.1
3562,el,-50,66.6
3563,ne,105.5,-19.3
3564,ag,0.2,73.7
3565,gf,81.9,-6.9
3566,ji,17.7,39.2
3567,cc,79.3,158.1
3568,li,124.5,46.1
3569,il,5.2,60.2
3570,mm,9.4,101.4
3571,bd,-0.7,-72.4
3572,mk,38.7,77.6
3573,ii,-1.4,7.3
3574,id,-42.7,71.2
3575,jm,49.2,11.3
3576,gk,-43.5,55.4
3577,eh,4.9,-50.6
3578,dn,-127.3,13.1
3579,bc,-155,51.8
3580,lg,15.5,44
3581,gk,139.9,157.9
3582,ng,11.6,91.9
3583,he,13.3,-207.6
3584,fg,134.6,50.4
3585,gb,244.3,226.4
3586,kn,-21.5,10.7
3587,ij,33.8,63.8
3588,mi,74.1,-22.9
3589,km,-4.8,74.8
3590,ia,-139.8,8.7
3591,jm,-90.4,80.3
3592,il,144.4,-31.1
3593,le,-49.2,275.7
3594,el,-26.9,-105.9
3595,mb,4.8,60.4
3596,kk,-97.6,9.7
3597,ld,70.6,19.9
3598,ii,-43.5,64.5
3599,bf,-78.3,6.7
3600,lc,90,60.4
3601,gg,-12.3,86.8
3602,jd,-31.7,57.8
3603,nk,71.8,127
3604,dm,165.7,73.2
3605,nc,-5.9,89.8
3606,ai,-11.9,74.8
3607,gg,-102.1,77.9
3608,nj,-137.6,40.1
3609,bf,0.3,345.5
3610,kd,47.7,189.1
3611,bc,-18.8,258.7
3612,lh,8.7,-21.8
3613,ei,-15,45.8
3614,db,-34.5,-54.6
3615,hh,-69.9,94.8
3616,gh,-8.1,76.9
3617,mh,-38.7,27.8
3618,en,61.8,-38
3619,mh,17.8,-44.5
3620,lm,30.5,146.4
3621,ab,122.9,162.8
3622,lh,75.2,-157.6
3623,ej,21.8,99.9
3624,km,160.2,175.2
3625,cd,5.4,78.4
3626,dm,-33.8,133
3627,gj,23.5,83
3628,nn,23.7,21
3629,nb,-64.8,142.2
3630,ei,0.1,-115.3
3631,lh,106.8,173.6
3632,nh,59.4,26.3
3633,ef,-88.7,-54.3
3634,la,-94.1,-40.4
3635,nn,-7.2,25.2
3636,bb,-31.5,149
3637,ck,1.6,96.4
3638,de,46.3,224.4
3639,gc,52.6,88.2
3640,gl,128.6,183.9
3641,nn,132,97
3642,fa,-64.6,-25
3643,il,8.3,24.7
3644,ka,9.6,80.2
3645,cd,13,83
3646,ki,120.9,222.6
3647,af,108.2,28.6
3648,gh,91.9,-20.3
3649,ae,35.2,92.7
3650,da,26.8,51.3
3651,cc,-38.2,119.6
3652,ae,159.5,103.5
3653,mh,-58.1,5.1
3654,nm,-2.8,66.9
3655,jb,193.8,188.6
3656,mi,189.4,112.9
3657,hb,-18.1,93.2
3658,ii,-93.5,54
3659,mk,-124.7,53
3660,ej,6.5,-138.1
3661,lm,26.6,56.8
3662,hn,7,54.3
3663,ka,126.9,54.5
3664,ik,224.5,252.1
3665,hm,243.1,33
3666,kb,54.3,93.2
3667,fa,-18.4,27
3668,ie,26.2,-104.8
3669,kl,204.2,-46.9
3670,il,79.8,198.2
3671,hn,134.7,64.2
3672,gi,-51.2,8.8
3673,mn,106.9,131.9
3674,kl,-23.3,72.6
3675,dd,-39.2,132
3676,kn,205.9,122.6
3677,jb,-33.4,95.3
3678,jg,-2.7,66.1
3679,db,0.5,14.4
3680,ba,-1.9,9
3681,ii,10.3,85.9
3682,kc,-171.2,151.8
3683,fk,-12.8,99.3
3684,jm,2.5,115.5
3685,kd,-19.9,134.4
3686,nm,8.8,67.6
3687,ik,4.7,35.9
3688,nl,30.1,93.1
3689,al,70.6,5.3
3690,id,101.5,2
3691,cb,-28.4,10.3
3692,gg,-93.7,0.9
3693,he,-28,51.4
3694,ba,148.8,74.1
3695,bi,66.4,-110.6
3696,in,124.2,246.3
3697,nk,65.2,-143.1
3698,bl,252.8,212.1
3699,ic,163.1,18
3700,bm,6.7,75.7
3701,lh,-45.6,76.4
3702,fm,171.7,129.2
3703,jj,253.3,-8.6
3704,hb,333.3,44.2
3705,lj,-11.5,-47.5
3706,ke,-11.9,12.8
3707,hg,244.5,174.6
3708,nb,6.2,28.4
3709,ec,0.9,-81.6
3710,dd,9.3,-121.6
3711,mf,-68.9,-54.1
3712,gf,45.8,-19.2
3713,hm,12.6,59
3714,mi,-17,71.5
3715,jn,17.5,51.3
3716,fd,-24.4,-32.6
3717,lh,30,-77.9
3718,bk,-16.1,98.2
3719,ib,-16,14.4
3720,fk,92.8,214.5
3721,ik,66.2,215.1
3722,if,220.4,210.9
3723,jk,21.7,-27.2
3724,ek,288.3,65.3
3725,bd,-5.8,-112.5
3726,hb,139.4,-35.1
3727,cl,4.9,67.4
3728,jk,200.1,56
3729,af,111,81.6
3730,lc,7.6,77.1
3731,ka,282.8,51.1
3732,de,201.5,23.7
3733,kc,-33,82.4
3734,kd,186.2,24.7
3735,ag,135.5,-90.1
3736,jj,165.8,114
3737,gh,-28.3,62.4
3738,ih,24.5,57.1
3739,kh,2.3,84.2
3740,bj,-4.2,82.9
3741,gb,-39.4,31.1
3742,ac,17.9,36.5
3743,nc,-20.3,190
3744,cb,203.1,117.8
3745,bc,122.8,35.7
3746,gh,16,94.1
3747,gd,211.2,137.9
3748,gn,142.5,67.8
3749,jh,-33.6,13.9
3750,cb,-0.1,79.1
3751,bn,-6.9,1.6
3752,ec,13.8,60.1
3753,ec,-3.5,-46.5
3754,lc,58.6,58.8
3755,fa,183.3,-60.5
3756,em,161.3,122.2
3757,fl,59.5,38.8
3758,dc,-89,-192.3
3759,jk,-60.5,-5.9
3760,jf,264.6,71.1
3761,ml,-6.1,101.1
3762,gb,271.4,-10
3763,cd,-107.8,81
3764,ea,-18.9,56.8
3765,cl,-30.2,59.5
3766,dj,87.6,140.6
3767,em,45.8,30.9
3768,nj,77.1,84.7
3769,mk,15.9,97.6
3770,ja,36.8,91.7
3771,kb,113.5,-70.6
3772,fi,74.9,119.7
3773,hm,-1.9,60
3774,ek,212.3,32.8
3775,dh,-23.1,-75.6
3776,hg,102.6,130.4
3777,lm,-37.2,68.1
3778,gm,87.6,352.6
3779,lk,-12.6,70.5
3780,gi,9.3,-47.8
3781,kl,-37.9,115.9
3782,hg,-4.9,7.6
3783,nb,-2.7,51.1
3784,ck,95.2,55.3
3785,nk,-47.1,33.8
3786,ed,130.3,32.2
3787,in,8.6,21.3
3788,ha,162.5,96.7
3789,ke,115.1,190.2
3790,dg,92.6,-12.3
3791,hl,-100.4,-109
3792,cm,-5.9,6.9
3793,nk,269.3,-68.5
3794,ie,-76.3,-204.9
3795,ch,342.6,210.2
3796,hl,295.7,181.4
3797,bj,-3.8,123.4
3798,bh,-47.2,27.4
3799,em,-10.3,81.2
3800,fc,122.2,-9.8
3801,ih,4.7,-32.3
3802,ah,181.6,65.9
3803,gi,242.2,162.2
3804,gd,5.4,92.4
3805,dc,135.9,175.9
3806,di,204.7,22.8
3807,nm,180.1,265.1
3808,ie,89.6,71.3
3809,gn,19.5,92.6
3810,db,-80.3,186.6
3811,ji,168.8,158.6
3812,ej,163.3,298.1
3813,fj,-3.6,30.1
3814,gg,15.7,4.5
3815,gm,87.9,-19
3816,jh,-52,36
3817,ng,110,-60
3818,ke,-12.9,183.5
3819,he,-44.4,30.7
3820,kb,38.2,31.2
3821,le,-37.9,107.6
3822,gk,32.5,72.8
3823,eh,2.6,103.9
3824,ma,7.1,-36.6
3825,he,29.4,98.3
3826,ge,-26.5,113.4
3827,kf,-15.5,69.4
3828,nf,-3.2,26.9
3829,aj,16.2,27.8
3830,li,15.5,45.6
3831,ha,-40.8,-161.1
3832,dg,2.6,60.6
3833,hb,135,-130.6
3834,ee,39.3,16.4
3835,cc,-41.5,37.9
3836,kj,66.2,25.6
3837,jf,140.1,111.4
3838,eg,-116.7,34.1
3839,ig,117.3,-121.2
3840,ac,-38.4,76.8
3841,ij,133.8,90.8
3842,fd,-37.5,-76.3
3843,nl,160.8,242.8
3844,jd,29.9,52.5
3845,mf,13.1,-132.7
3846,dl,79.5,52.1
3847,gk,-2.3,15.4
3848,dn,-3,-7.2
3849,le,40.5,-11.6
3850,el,175.4,224.3
3851,di,14.3,68.1
3852,ik,2.1,74.1
3853,ml,89,-61.9
3854,kh,10.8,38.2
3855,eg,171.6,92.4
3856,dk,-44.1,15.3
3857,gn,-133.6,54.6
3858,mc,198.8,64.9
3859,cm,-15.9,80.3
3860,ia,3.9,24.9
3861,dl,83,-128.5
3862,kh,-41.1,145.1
3863,hk,-9.2,11.3
3864,cb,17.4,-75.2
3865,mn,0.6,91.1
3866,he,89,-23.8
3867,bd,-6.2,66.9
3868,fk,291.3,293.9
3869,dg,15.2,-150.6
3870,hk,-1.6,-21.2
3871,be,54.6,59
3872,al,-8.1,179.4
3873,lk,2.7,91.1
3874,jj,5.8,9.8
3875,ln,108.3,132.9
3876,bj,244.5,-122.6
3877,ld,-1.6,154.8
3878,dh,61.8,2.6
3879,cn,-35.2,16.4
3880,mf,-69.7,94.6
3881,jb,-0,64.4
3882,al,5.1,31.2
3883,mk,5.4,15.6
3884,dh,137.5,9.4
3885,ln,-2.6,82.7
3886,la,-0.3,68.1
3887,ck,41,98.3
3888,bk,182.9,231.3
3889,lf,-9.3,-44
3890,kj,-17.2,50.9
3891,an,-18.7,26.6
3892,ac,-45.9,12.3
3893,ib,-86.5,5.6
3894,ka,-80.9,14
3895,jj,60.2,213.9
3896,ik,170.4,188.8
3897,fa,33.6,31.8
3898,ah,-5.6,7.8
3899,ei,121.2,24.7
3900,fc,-52.1,155.3
3901,ge,-2.5,-72.1
3902,en,40.5,-104.1
3903,bg,-66.2,24.3
3904,ea,-70,-38
3905,db,0.4,98.2
3906,bi,10.3,56.8
3907,el,36.1,83.9
3908,ac,-6.9,21.9
3909,am,94.5,20.9
3910,hj,21.7,3.5
3911,gi,98.7,33.2
3912,hb,21.6,39.8
3913,ee,-2.4,89.1
3914,nj,164.6,244.4
3915,hg,289.8,71
3916,lm,0.1,-58.6
3917,cf,121.9,-73.9
3918,ba,-23.4,86.8
3919,ie,56.4,107.7
3920,na,-113.6,38.3
3921,hh,-8.8,14.9
3922,ln,-5.5,29.6
3923,ke,-9.8,21.3
3924,ca,-45.1,48.5
3925,dl,50.6,48.9
3926,eb,42.1,-23.4
3927,kk,-27.7,24.8
3928,bd,74.6,131.1
3929,bf,-38,95.7
3930,dj,-29.2,34.6
3931,dk,-7.2,-99.5
3932,le,42,11.1
3933,nj,92.1,93.3
3934,gl,38.2,-9.5
3935,fd,-35.7,125.7
3936,jl,15.2,73.4
3937,cj,-65.8,38.6
3938,mn,5.4,36.1
3939,ki,79.6,201.9
3940,nf,13.2,-10.1
3941,jf,-8,-120.5
3942,if,-6.9,27.7
3943,jj,-65.2,10.2
3944,cd,-20.7,6.7
3945,na,36.9,79.6
3946,bn,-11.2,40.9
3947,la,-2.2,-15.5
3948,ll,147.3,161.3
3949,bd,-15.7,128.8
3950,mm,133.6,36.8
3951,gk,55.2,50
3952,jn,11.6,-38.8
3953,hm,-222.4,7.8
3954,ch,34,-61.3
3955,lb,152.5,51.6
3956,kg,26.1,83
3957,bf,10.1,48.1
3958,am,5.4,85.7
3959,ne,109.1,168
3960,le,-27.3,30.6
3961,ia,8.7,64.2
3962,fi,59.7,93.8
3963,ag,107,59.6
3964,hj,30.9,116.6
3965,db,193.9,264
3966,nc,127.1,33.3
3967,dl,29.8,7.5
3968,fi,85.4,-135.3
3969,gm,117,69.3
3970,dn,-22.3,42.6
3971,hn,-104.4,20.9
3972,kg,53.6,130.4
3973,hf,12.3,92.4
3974,be,-0.7,48.2
3975,gk,262.3,-10.5
3976,be,-0.3,71.2
3977,in,185.7,42.1
3978,nh,-106.1,51.8
3979,fb,-31.8,82
3980,cd,79.9,32.1
3981,kk,-14.6,72.5
3982,mf,-61.1,77.7
3983,ae,-8.3,86
3984,gi,-7.1,128.4
3985,le,-0.6,64.7
3986,ch,-5.7,91
3987,eg,6.1,15.4
3988,df,50.2,94
3989,ne,2.6,55.1
3990,cj,145.8,-57.9
3991,gm,21.5,67.5
3992,il,11.2,53.9
3993,bl,-6.4,-80
3994,ij,216.4,56.5
3995,lb,21.8,73.1
3996,cc,-74.5,47.9
3997,eb,281.3,73.2
3998,bg,3.7,-36.1
3999,dc,2.9,39.8
4000,cc,1.2,1.2
4001,mc,-4.9,63.4
4002,kl,11.9,5.8
4003,al,9,1.4
4004,lk,-3.1,69.6
4005,gg,28.7,66.4
4006,mi,10.4,6.4
4007,lk,47.2,-27
4008,em,180.6,99.2
4009,mn,102.8,15.6
4010,ad,-69.6,167.1
4011,kn,194.8,137
4012,eh,3.8,10.4
4013,il,44,283
4014,ma,-24,-91.5
4015,mj,-18.4,63.5
4016,ec,247,96.3
4017,bi,8.4,51.8
4018,mn,-40.7,-54.5
4019,fl,176.5,145.8
4020,fn,57.7,-135
4021,me,296.7,136.2
4022,hk,120.3,98.5
4023,hb,-1.2,65
4024,ib,-28.3,31.2
4025,ee,18.8,61
4026,gh,-18.8,123.4
4027,mh,12.7,-63
4028,ib,20.1,37.8
4029,id,17.5,-161.8
4030,ha,30.9,-30.8
4031,ce,-41.9,70
4032,ih,-41.1,124.4
4033,ca,183.8,124.2
4034,ad,228.6,51.5
4035,ce,-42.3,18.3
4036,lh,132.6,44.5
4037,ek,-12.3,109.1
4038,de,45.7,-72.5
4039,ak,67.7,-20.7
4040,nl,-7.1,87.6
4041,aa,175.7,46
4042,bj,-0.5,66.6
4043,cd,76.7,185.7
4044,ck,-13,45.1
4045,fn,126.2,83.1
4046,be,115.4,58.8
4047,dc,-186.4,64.1
4048,bc,-91.8,6.2
4049,ka,89.6,119.1
4050,ld,-2,-7.6
4051,mk,57.9,-69.5
4052,cj,81.9,95.2
4053,fe,71.9,25.4
4054,cl,-12.8,136.4
4055,ga,148.3,216.3
4056,dm,49.5,58.8
4057,cd,-44.1,20.1
4058,ee,28.4,17.7
4059,gf,95.1,-178.7
4060,lj,21.3,10.1
4061,df,-73.5,-83.4
4062,mc,-22.9,104.7
4063,hl,13,85.1
4064,eh,4.6,123.3
4065,jb,-83.8,-173
4066,gf,61.2,132.4
4067,ga,5.2,8.7
4068,dh,24.9,117.8
4069,ff,141.6,-5.2
4070,ik,-56.8,87.8
4071,ki,-2.6,20.7
4072,an,-82.6,-117.6
4073,jg,-20.9,91.4
4074,cl,-50.4,-37.8
4075,ne,-9.2,-2.5
4076,ie,161.4,97.6
4077,ka,-10.6,15.4
4078,dj,227.8,78.5
4079,ga,65.7,197.7
4080,cd,-39.2,36
4081,lb,-73.5,-70.4
4082,dm,-3.4,-142.8
4083,ca,-0.3,-180.4
4084,gd,-10,81.4
4085,mb,117.1,67.6
4086,ad,14,-39.1
4087,ff,306.3,137.2
4088,ed,-3.1,23.8
4089,aa,7.4,117.6
4090,nd,13.7,166.9
4091,kl,16.7,67
4092,ba,55.9,22.1
4093,al,-14.2,3.3
4094,kl,46.2,10.9
4095,dk,73.4,75.7
4096,ag,-126.8,89.7
4097,ff,25.4,32.1
4098,ni,53.3,74.2
4099,ec,-19.7,52.9
4100,nf,28.6,6.1
4101,ba,202.9,1.4
4102,jd,-42.5,63
4103,ae,200,225
4104,bc,-18,-64.9
4105,mf,4.8,2.2
4106,gg,20.5,16
4107,jj,2.8,59.3
4108,mn,-13,137.2
4109,fb,-31.6,-78.3
4110,ah,22.4,59.8
4111,jd,197.3,127.9
4112,ge,28.1,-102.7
4113,al,192.2,52.2
4114,ff,209.2,-97.5
4115,ic,-55.9,21.4
4116,fj,-3.4,131.7
4117,eh,-69,94.9
4118,ig,1.3,29.1
4119,km,-66.5,70.5
4120,fd,146,68.6
4121,ak,-43.2,28.8
4122,jg,0.7,34.7
4123,jm,37.8,18.8
4124,hm,157.5,199.9
4125,ma,-155.9,-68.8
4126,eh,-37.6,15.3
4127,ee,-3.2,48.4
4128,ci,50.4,18.8
4129,nb,-143.4,48.7
4130,li,115.1,80.1
4131,de,69.3,33.9
4132,be,46.7,31.5
4133,ma,89,78.8
4134,jl,-20.2,141
4135,el,11.6,27
4136,cd,148.5,-20.3
4137,lf,44,26.7
4138,gh,64.6,147.8
4139,jg,18,22
4140,kj,-4.5,88.7
4141,ii,-18.3,77.7
4142,bi,20.2,-68
4143,in,43.4,30.2
4144,mg,144.4,18.5
4145,ie,225.3,198.6
4146,jh,80.7,38.7
4147,ml,16.5,87.8
4148,fd,-21,57.7
4149,kb,16,39
4150,gf,2.4,27.4
4151,eh,7.3,40.8
4152,ib,-7.8,264.8
4153,fa,4.4,84.2
4154,ha,-253.7,-195.2
4155,gi,124.9,80.5
4156,nf,1.7,61.3
4157,hl,148.8,16.8
4158,jc,182.6,164
4159,le,72.4,60.2
4160,ee,0.2,84.9
4161,ai,39.8,47.4
4162,he,-11.2,67.6
4163,gc,-72.5,17.6
4164,mk,76.7,42.9
4165,ei,5,89.9
4166,mc,-0.6,97.7
4167,dg,132.1,20.5
4168,kb,14,69.1
4169,ea,-54.4,-70.6
4170,kc,-35.9,85.7
4171,cd,-8.1,-48.9
4172,id,12.8,27.8
4173,jk,19.6,5.8
4174,nc,-11.9,31.4
4175,fm,-19.8,22.8
4176,bm,-39.8,1.3
4177,gc,34.2,61.6
4178,bd,0.1,88.1
4179,nf,28,256
4180,mb,16.1,92.3
4181,gn,16.6,22.2
4182,nj,-6.6,48.9
4183,jf,15.7,-169.9
4184,fb,-23.5,86.2
4185,gk,-6.3,174.2
4186,jb,-7.7,-26.7
4187,dk,170.1,31.2
4188,nb,-20.2,83.1
4189,cn,1.1,29.1
4190,gf,-85.4,205.5
4191,ai,-95.4,170
4192,fg,107.3,82.8
4193,id,32.4,7.1
4194,ih,-3,-247.7
4195,lk,-5.5,56.3
4196,da,-111.1,151.8
4197,ej,-74.8,-23.4
4198,mk,0.2,52.6
4199,lf,50.7,131
4200,eh,9.1,152.5
4201,ch,18.4,74.5
4202,jf,147.7,86.8
4203,af,86.8,84
4204,fn,-4.6,213
4205,jc,288.6,119
4206,ai,126.1,123.6
4207,hb,-28.9,40.4
4208,lm,23.9,17.6
4209,nh,-32.9,33.2
4210,ge,-0.1,30.2
4211,gm,-5.7,-60.5
4212,ak,30.8,45.6
4213,kn,93.3,243.9
4214,im,24.1,66.8
4215,cb,-21.7,38.9
4216,cb,5.5,47.7
4217,ej,29.2,28.2
4218,ak,97.8,167.7
4219,ci,14.8,-5
4220,nc,42.8,1
4221,mi,-15.6,-4.3
4222,dg,0,42.9
4223,fg,-8,73.7
4224,ic,-30.4,91.6
4225,kb,-233.7,2.3
4226,fn,29.8,-101
4227,kd,-94.2,-11.6
4228,ec,103.2,49.2
4229,en,164,31
4230,cg,-10.9,9.1
4231,he,53.2,53.6
4232,fg,96.9,133.1
4233,fe,-6.1,90
4234,dh,-101.6,82.5
4235,lf,-145.4,-14.7
4236,ma,0.3,83.3
4237,hb,192.2,-51.3
4238,kf,3.8,12.4
4239,ne,77.3,115.8
4240,dg,47,-65.5
4241,cc,-0.3,-66.4
4242,dk,225.4,87.2
4243,ff,-24.1,91.3
4244,ll,127.5,237.4
4245,cg,-18.3,85.3
4246,ia,87.5,256.8
4247,hl,38.9,5.9
4248,gj,9.5,-20.8
4249,hm,-8.5,-129.6
