Id, Name, Gender, Grade_math, Grade_cs
6890,ck,F,40.1,27.4
6891,lh,M,28.1,83.1
6892,lm,F,32.0,11.5
6893,cd,F,2.0,0.9
6894,mj,F,11.7,3.0
6895,cc,M,11.3,29.9
6896,fi,F,6.1,2.6
6897,ja,M,12.1,59.85231
6898,jf,M,0.2,37.8
6899,af,M,3.5,72.7
6900,ig,M,49.761017,48.304966
6901,ac,M,45.389904,7.4
6902,ah,F,34.6,0.6
6903,ki,F,27.5,9.7
6904,dl,F,24.9,15.1
6905,ae,F,36.3,10.1
6906,ai,M,8.7,65.4
6907,di,F,32.3,5.9
6908,gb,F,7.6,2.7
6909,nb,F,47.3,36.3
6910,db,F,18.4,5.7
6911,ic,M,90.1,51.0
6912,nl,M,90.0,60.0
6913,ia,M,16.7,14.2
6914,fl,M,48.2,0.69523257
6915,cc,M,55.4,95.2
6916,kl,F,26.9,0.1
6917,fa,M,8.2,17.2
6918,en,M,14.0,2.9
6919,li,M,83.7,21.028519
6920,me,F,11.8,3.1
6921,jg,F,23.1,8.0
6922,dg,M,35.5,52.8
6923,bj,M,35.6,55.1
6924,hj,M,76.9,4.8
6925,nd,F,3.0,1.6
6926,bd,F,4.9,2.3
6927,fb,M,47.825985,25.9
6928,mn,M,25.92537,45.9
6929,mg,F,3.6,3.3
6930,ak,F,4.1,1.2
6931,jd,M,20.5,16.6
6932,mn,M,28.2,8.903407
6933,ah,F,14.8,8.0
6934,en,M,7.9,4.3
6935,fm,M,60.7,41.0
6936,na,M,78.3,48.2
6937,ai,M,51.560238,49.2
6938,hi,M,30.3,90.1
6939,am,M,0.1,33.8
6940,di,F,3.8,2.4
6941,nn,F,3.5,1.0
6942,kb,M,8.4,10.0
6943,hd,F,32.5,17.5
6944,ek,M,31.4,20.3
6945,mf,M,13.7,46.0
6946,ki,M,95.42135,74.6
6947,cc,M,30.9,44.0
6948,fi,M,41.8,55.8
6949,kl,F,38.8,31.5
6950,lk,F,10.5,7.8
6951,jd,M,1.8,75.3
6952,ii,F,10.0,3.5
6953,ik,M,31.9,53.7
6954,nl,M,5.9,0.6
6955,kh,M,85.9,77.1
6956,kn,M,0.1,54.4
6957,li,M,8.3,16.0
6958,li,M,57.7,34.5
6959,ee,M,41.1,44.4
6960,me,F,2.8,0.6
6961,ni,F,12.8,6.3
6962,fg,F,31.8,6.3
6963,lh,F,7.0,2.2
6964,kd,F,32.7,12.5
6965,am,M,1.0,7.2
6966,ag,F,43.0,3.6
6967,ji,M,43.8,35.9
6968,mn,F,3.9,0.9
6969,bn,F,21.8,10.7
6970,de,F,59.0,13.4
6971,kc,F,0.7,0.4
6972,nd,F,12.3,11.1
6973,ja,M,32.0,24.533978
6974,ik,F,31.8,2.4
6975,hd,M,44.4,74.7
6976,nd,M,13.1,11.0
6977,mm,F,6.7,4.7
6978,lf,M,33.3,51.4
6979,hl,M,24.5,79.4
6980,eg,M,88.8758,21.209925
6981,mk,M,42.2,44.3
6982,fd,M,6.3,51.8
6983,cf,M,44.574413,36.3
6984,lh,F,94.42653,96.2
6985,ic,F,13.2,12.7
6986,lj,M,7.4795456,86.2
6987,ff,F,4.1,2.5
6988,gn,M,22.4,16.937723
6989,gn,F,12.5,12.4
6990,gi,M,29.067148,40.9
6991,bm,F,47.2,29.3
6992,je,F,1.4,0.7
6993,jg,M,2.2,43.4
6994,dg,M,10.5,38.5
6995,li,M,33.6,41.1
6996,gg,M,0.9,7.0
6997,mm,F,86.7,75.5
6998,nb,F,9.8,1.4
6999,jk,M,35.1,87.4
7000,im,M,30.764221,99.8
7001,nb,M,21.9,31.0
7002,ai,F,2.7,0.2
7003,ej,F,2.1,0.3
7004,mb,M,8.4,18.170393
7005,mh,F,17.8,14.0
7006,en,M,18.4,4.3
7007,cb,M,78.9,65.1
7008,kg,F,62.2,19.8
7009,ki,F,1.9,0.1
7010,km,F,20.2,19.3
7011,li,M,10.4,24.0
7012,bf,M,49.8,65.6
7013,gl,F,24.6,4.1
7014,dj,M,2.3,41.2
7015,aj,M,77.8,0.8441563
7016,ld,F,10.3,0.8
7017,lf,F,6.0,2.9
7018,bm,F,7.2,4.1
7019,fh,F,62.1,44.9
7020,al,M,28.7,74.2
7021,fl,M,2.2,5.2
7022,dk,F,40.0,23.2
7023,gh,M,1.3,11.5
7024,gb,M,35.675686,88.62459
7025,ih,M,24.1,17.6
7026,jd,F,12.2,4.6
7027,lc,M,10.0,56.6
7028,bk,F,15.5,4.5
7029,hl,F,13.3,9.1
7030,jl,M,28.5,4.9
7031,ed,M,34.3,28.3
7032,na,F,3.0,1.6
7033,nj,M,13.3,3.1
7034,an,F,43.3,19.0
7035,ch,F,0.6,0.2
7036,fk,M,87.5,49.0
7037,ge,M,3.9,0.202419
7038,kc,F,26.3,10.6
7039,lg,M,42.362297,7.7131743
7040,na,M,3.8,60.5
7041,hi,F,24.5,2.8
7042,fh,M,15.9,92.7
7043,ff,M,34.5,31.310888
7044,km,M,31.3,23.8
7045,me,F,20.8,11.6
7046,jc,F,47.6,28.7
7047,da,F,4.3,0.6
7048,fd,F,18.1,0.2
7049,jl,F,2.5,1.0
7050,na,M,0.9,66.3
7051,ia,F,21.4,11.1
7052,ic,M,7.6770773,81.6
7053,ce,M,2.2,62.1
7054,hl,M,58.6,49.2
7055,aj,F,2.0,0.2
7056,nb,M,4.8,3.5961955
7057,ln,F,7.1,4.1
7058,bg,F,13.1,0.5
7059,ah,F,19.0,9.7
7060,fe,M,46.5,16.76242
7061,id,M,67.31409,42.0
7062,eb,F,38.8,24.2
7063,da,F,41.6,36.4
7064,ki,M,18.993752,34.0
7065,mj,F,6.8,1.9
7066,gc,M,97.2,57.831253
7067,gd,M,96.2,84.88627
7068,kg,M,13.4,34.7
7069,bj,M,25.1,74.4
7070,ad,F,0.2,0.2
7071,kd,M,0.2,37.2
7072,dg,F,26.9,8.5
7073,fh,F,62.8,4.8
7074,nk,F,70.5,7.7
7075,gi,F,8.0,2.7
7076,ih,M,42.3,0.9544986
7077,mh,M,50.8,60.9
7078,je,M,4.8,14.4
7079,ei,F,53.0,1.5
7080,jg,F,1.2,0.1
7081,nl,F,5.7,1.2
7082,ck,M,49.3,19.3
7083,fm,F,9.4,3.9
7084,cm,M,80.8,56.16584
7085,hb,M,14.0,6.753826
7086,ee,F,8.9,5.2
7087,ca,M,58.7,91.6
7088,he,M,1.4837219,85.7
7089,dg,F,12.8,5.2
7090,nd,F,12.0,8.8
7091,lj,F,4.7,4.3
7092,dg,F,8.5,7.1
7093,jl,M,6.6,27.3
7094,en,M,52.2,20.0
7095,li,F,8.8,5.8
7096,kn,M,59.9,16.381477
7097,gc,M,98.2,32.1
7098,bg,M,79.8,63.6
7099,li,F,13.6,1.6
7100,fk,M,48.521965,80.8
7101,kc,F,35.8,18.4
7102,dk,M,5.8,60.7
7103,gd,M,99.6,48.1
7104,db,F,8.7,6.0
7105,ic,F,30.4,13.1
7106,ja,M,0.0,7.692795
7107,am,F,23.7,12.1
7108,ll,F,13.7,5.8
7109,mj,F,5.3,2.8
7110,ha,M,45.9,66.4
7111,bf,M,54.338894,88.1
7112,cj,M,10.555435,11.479194
7113,bi,M,12.5,27.8
7114,ag,M,73.2,62.5
7115,bm,M,58.2,42.6
7116,cc,M,77.7,64.3
7117,lk,M,8.4,12.0
7118,kk,F,6.0,1.8
7119,kd,M,56.5,2.8
7120,be,M,38.2,11.6
7121,di,M,75.4,94.2
7122,ak,M,33.11966,42.748123
7123,la,M,7.1,47.7
7124,gn,F,29.1,9.7
7125,gm,M,10.0,34.1
7126,ec,F,4.9,2.6
7127,ja,M,81.8,50.214104
7128,ng,F,24.9,3.2
7129,nb,M,1.2,42.4
7130,lc,M,3.8,87.5
7131,gc,F,33.0,28.2
7132,gf,M,48.651447,10.1
7133,lb,F,60.2,17.9
7134,lm,F,31.8,14.3
7135,ef,F,40.0,6.2
7136,ch,F,25.6,10.8
7137,ab,M,27.8,74.2
7138,ii,M,65.9,53.8
7139,nj,F,0.5,0.3
7140,id,M,58.2,53.8
7141,en,M,17.7,1.3
7142,kh,F,5.8,1.6
7143,ih,F,8.4,2.2
7144,bc,M,0.3,82.7
7145,fj,M,86.3,41.3
7146,ah,M,2.0,35.7
7147,kh,F,1.1,0.4
7148,jf,F,6.8,1.6
7149,dj,M,13.1,53.8
7150,gb,F,15.3,9.8
7151,fb,M,7.4,7.1
7152,mj,M,18.8,75.7
7153,mb,M,90.2,60.3554
7154,la,M,69.3,28.9
7155,bk,F,10.0,8.5
7156,ae,M,2.8,32.5
7157,fe,F,2.6,2.5
7158,bf,M,5.8,5.4
7159,hm,F,15.1,1.0
7160,bb,M,9.013313,47.9
7161,na,F,29.2,22.6
7162,fi,F,48.9,7.6
7163,cb,F,6.0,0.5
7164,fi,M,59.8,63.3
7165,dl,F,42.1,17.2
7166,il,M,64.63377,65.7
7167,nm,M,19.5,86.5
7168,ii,M,21.1,5.8
7169,nc,M,62.6,96.3
7170,kg,F,21.1,20.8
7171,ma,F,1.9,0.0
7172,nj,F,7.0,2.0
7173,fn,F,18.3,13.5
7174,lg,M,66.980484,68.8
7175,cb,F,32.3,6.5
7176,ma,M,57.0,28.1
7177,aj,M,42.3,74.7
7178,ni,F,25.6,12.5
7179,kh,M,47.677536,88.9
7180,fb,F,51.6,3.9
7181,kd,F,4.1,4.0
7182,me,M,53.51001,61.2
7183,id,M,4.7,39.2
7184,bk,M,86.0,60.3
7185,jn,F,10.0,5.6
7186,ia,M,19.5,48.706135
7187,hh,F,0.3,0.1
7188,nj,M,43.7,62.91539
7189,kg,M,57.6,47.3
7190,ld,M,86.72429,92.1954
7191,nm,F,39.1,28.7
7192,di,F,28.0,10.6
7193,mh,M,28.7,9.7
7194,ib,F,0.8,0.1
7195,ng,F,5.6,1.4
7196,hf,M,70.4,26.18633
7197,ig,M,26.187717,88.0
7198,cf,F,44.9,26.3
7199,de,M,7.2,12.6
7200,cc,M,48.42312,31.5
7201,jk,F,43.0,35.9
7202,ka,F,0.8,0.1
7203,nk,M,1.0,68.4
7204,jn,M,52.9,24.6
7205,kb,M,58.3,1.4
7206,ka,M,49.01422,42.9
7207,fa,F,7.0,4.8
7208,le,F,5.0,1.1
7209,lh,F,7.6,3.4
7210,cn,M,37.8,68.6
7211,hk,F,5.8,3.1
7212,mg,F,41.8,6.7
7213,bl,M,21.9,16.9
7214,mk,F,36.6,23.2
7215,ci,M,59.34701,27.2
7216,ba,M,56.5,5.6
7217,ak,M,27.2,42.149956
7218,kg,M,79.5,61.6
7219,lh,F,2.8,2.7
7220,ce,M,6.5,53.8
7221,eg,M,54.0,17.998327
7222,dh,F,6.4,5.3
7223,ig,F,31.7,6.5
7224,af,M,11.4,42.9
7225,de,M,0.8,46.9
7226,lm,M,97.1,72.4
7227,gj,F,32.2,0.9
7228,ld,F,7.5,5.1
7229,jn,F,24.9,9.5
7230,hj,M,32.7,62.8
7231,fb,F,21.9,9.0
7232,ih,F,25.4,7.8
7233,kl,M,47.3,1.1
7234,kh,M,88.4,66.4
7235,lk,F,44.7,38.8
7236,bd,F,0.9,0.0
7237,nf,F,85.8,79.3
7238,fm,F,45.8,26.3
7239,jk,F,5.8,2.2
7240,bj,M,87.99449,27.169945
7241,lh,M,10.3,39.7
7242,fd,M,0.2,33.4
7243,kd,F,16.5,8.2
7244,dk,M,99.2,32.7
7245,ce,M,27.3,48.9
7246,fn,M,8.4,18.3
7247,ei,F,65.4,16.1
7248,an,F,14.0,5.8
7249,di,F,45.7,16.5
7250,nf,F,23.4,9.5
7251,kc,F,26.3,2.5
7252,fa,M,26.8,66.87403
7253,ka,F,25.7,0.1
7254,ki,M,35.9,8.8
7255,jd,F,7.1,2.1
7256,fj,F,25.2,11.1
7257,hi,M,40.8,32.1
7258,ek,M,36.3,72.8
7259,fc,M,15.8,66.6
7260,ai,M,22.2,10.126457
7261,df,M,33.5,43.7
7262,ml,F,0.2,0.1
7263,dn,M,81.0,71.3
7264,nk,M,41.6,18.3
7265,ai,M,43.9,45.3
7266,ea,F,2.8,0.9
7267,lf,M,14.300946,84.9
7268,gh,M,15.9,32.4
7269,kj,M,6.7,69.8
7270,mj,F,3.5,2.4
7271,kf,F,3.1,1.9
7272,di,M,41.5,22.7
7273,jl,F,36.2,12.8
7274,cc,F,18.3,11.8
7275,nk,F,5.3,2.1
7276,ea,F,18.1,10.3
7277,bm,M,11.7,32.1
7278,ng,M,7.3,12.9
7279,ck,F,34.5,22.7
7280,ai,F,54.8,5.3
7281,bn,F,49.9,16.4
7282,jg,M,71.4,51.90225
7283,ck,F,11.0,4.3
7284,hm,M,46.6,42.9
7285,jk,F,3.6,1.7
7286,ma,M,35.5,55.5
7287,kf,M,34.7,75.1
7288,jm,F,4.5,2.6
7289,ad,M,38.454098,85.972725
7290,ng,F,23.0,4.8
7291,dk,F,0.6,0.2
7292,lk,M,92.5,42.6
7293,fl,F,1.1,0.5
7294,ik,F,13.7,1.0
7295,ia,F,1.1,0.6
7296,gg,M,19.7,31.2
7297,ml,F,19.4,8.5
7298,kl,M,69.18731,69.24935
7299,kn,F,1.2,0.6
7300,bg,M,3.0,3.8
7301,lh,F,31.8,10.5
7302,ej,F,39.6,33.8
7303,di,M,18.6,43.4
7304,fi,F,0.3,0.2
7305,nf,F,22.2,11.4
7306,ba,M,68.0,59.4
7307,ic,M,4.1,8.801849
7308,kc,F,4.8,1.4
7309,ai,M,14.014188,89.0
7310,hj,M,47.7,50.5
7311,nc,M,24.38372,94.8
7312,lg,M,59.9,44.4
7313,ak,M,3.1,15.5
7314,nk,M,83.5,14.6
7315,mj,F,1.7,1.4
7316,jn,F,49.9,4.6
7317,jd,M,0.7,78.9
7318,en,M,0.4,46.0
7319,eh,F,4.7,4.5
7320,ji,F,24.8,6.2
7321,lj,F,16.5,4.6
7322,ki,M,1.7,30.1
7323,hd,F,5.2,0.7
7324,cm,M,97.3,34.7
7325,ag,M,0.0,23.4
7326,kk,F,9.9,0.6
7327,ca,F,8.8,2.9
7328,bi,F,15.6,1.3
7329,bb,F,2.5,2.3
7330,nk,F,44.6,25.2
7331,bh,F,60.5,8.4
7332,jb,F,1.8,1.8
7333,mf,M,45.0,59.4
7334,fi,F,24.7,10.8
7335,nj,M,57.158306,10.699709
7336,nk,M,20.6,14.0
7337,hj,M,57.015182,29.1
7338,hn,F,4.8,0.7
7339,nk,F,7.5,2.8
7340,ah,F,28.3,10.9
7341,gj,F,29.1,15.2
7342,bb,F,2.6,0.5
7343,kn,M,70.7,15.4
7344,cc,M,10.7,73.4
7345,ll,M,8.891504,11.918547
7346,ll,M,43.5,49.1
7347,fd,M,2.2,1.5
7348,eh,F,27.6,17.7
7349,ea,M,11.8,5.9
7350,cf,M,93.8,96.5
7351,kb,F,8.6,5.9
7352,an,M,0.7,16.1
7353,df,F,18.6,9.9
7354,md,M,97.2,83.3
7355,ec,F,6.6,3.7
7356,fi,M,27.9,46.8
7357,ci,M,8.6,92.5
7358,hg,F,31.1,7.6
7359,db,F,6.2,0.8
7360,jb,F,39.0,33.0
7361,mh,F,9.5,2.6
7362,am,M,37.4,52.9
7363,gg,M,87.847046,88.9
7364,dg,M,3.8,70.9
7365,jf,M,12.4,50.8
7366,ld,M,9.7,76.4
7367,gd,M,33.0,41.3
7368,ni,M,36.7,54.6
7369,cf,M,69.0,25.3
7370,cl,M,10.6,32.9
7371,em,M,2.5,34.3
7372,gl,M,15.4,53.0
7373,ka,M,25.8,24.6
7374,ck,M,89.7,70.6
7375,jh,F,49.7,14.3
7376,dl,F,7.2,0.6
7377,hl,F,13.4,8.9
7378,dk,F,86.6,80.6
7379,al,M,26.5,4.7
7380,cd,M,85.2,94.3
7381,cc,F,19.8,7.8
7382,ec,F,12.8,4.1
7383,ak,F,15.1,6.8
7384,ec,M,57.7,77.4
7385,kd,M,21.9,30.1
7386,gm,F,79.3,34.2
7387,di,M,3.4,23.0
7388,gg,F,5.7,2.5
7389,bm,F,0.7,0.7
7390,ag,F,3.5,1.6
7391,da,F,2.5,0.1
7392,hm,F,0.7,0.2
7393,ng,M,5.0,12.2
7394,ng,F,33.6,18.4
7395,mf,M,45.8,45.400444
7396,ak,F,7.5,5.4
7397,im,F,3.2,2.3
7398,mm,M,37.7,42.7
7399,gl,F,80.8,55.4
7400,jl,M,57.5,76.7
7401,kd,M,36.572323,81.7
7402,nc,M,76.7,26.6
7403,kg,F,46.4,23.2
7404,gf,F,10.0,0.3
7405,lg,M,62.1,24.8
7406,jg,F,72.5,4.3
7407,fe,M,14.2,24.0
7408,jl,M,30.5,20.3
7409,dk,F,19.4,11.3
7410,mb,M,31.6,9.1
7411,ef,F,0.0,0.0
7412,bf,F,19.9,16.7
7413,ej,M,42.6,29.745037
7414,lm,F,5.2,0.9
7415,if,F,12.0,5.4
7416,ak,M,42.1,69.6
7417,ki,M,11.427093,23.610062
7418,cd,M,7.0,72.2
7419,af,M,57.0,90.4
7420,ck,F,3.8,1.2
7421,cn,M,79.1,89.5
7422,gl,F,16.4,10.6
7423,jj,F,16.3,10.2
7424,fi,F,6.6,0.2
7425,ml,M,9.2,14.6
7426,ni,F,31.1,4.6
7427,eg,M,8.1,65.4
7428,gc,F,10.2,2.6
7429,na,F,44.6,17.8
7430,ff,M,23.4,0.7
7431,ia,F,12.6,8.2
7432,nn,M,19.1,25.1
7433,hd,F,43.4,14.8
7434,jn,M,6.3,43.5
7435,ia,F,52.3,17.2
7436,lc,F,2.9,2.1
7437,ln,M,0.6,96.5
7438,fa,F,11.5,1.7
7439,nk,F,16.8,3.5
7440,aa,F,44.2,20.3
7441,dm,F,22.8,17.7
7442,nj,M,17.8,36.5
7443,jj,M,37.502254,53.6
7444,jg,F,0.8,0.4
7445,la,M,0.1,54.9
7446,fb,F,28.8,20.8
7447,dm,F,7.7,4.6
7448,mg,F,14.3,4.1
7449,kh,F,7.8,1.8
7450,la,M,2.0,92.2
7451,bn,M,20.2,77.37754
7452,da,F,41.2,36.1
7453,gd,M,0.4,31.3
7454,he,F,23.3,6.3
7455,aj,F,15.3,1.6
7456,kf,F,12.6,2.9
7457,ml,F,2.5,1.3
7458,in,F,14.2,0.6
7459,ka,M,36.9,1.7
7460,jl,F,13.6,6.2
7461,dm,M,13.611262,19.422474
7462,en,M,38.4,8.6
7463,bd,M,13.177481,93.8
7464,ll,M,21.0,30.9
7465,ce,F,8.1,6.2
7466,dh,F,1.2,0.0
7467,ia,M,9.6,59.2
7468,jb,F,37.4,25.1
7469,ah,M,85.49126,1.6
7470,af,M,14.4,34.0
7471,hc,M,2.3,31.3
7472,hb,M,15.6,27.645502
7473,ed,F,1.2,0.5
7474,kc,F,23.4,3.7
7475,ic,F,31.6,16.1
7476,bm,F,17.6,3.8
7477,ej,M,56.8,30.5
7478,el,M,43.5,23.0
7479,bd,F,35.4,29.1
7480,ck,M,48.5,92.566765
7481,ac,F,1.8,1.5
7482,nc,M,32.4,7.1
7483,cf,M,52.1,37.990192
7484,nf,M,74.8,45.5
7485,bj,M,34.9,65.0
7486,ml,F,0.6,0.4
7487,kd,M,44.8,3.0323143
7488,hn,M,4.7,27.7
7489,fn,M,15.5,88.906105
7490,dc,M,0.8,37.4
7491,fd,M,10.698463,92.9
7492,fl,F,2.1,0.3
7493,fb,F,0.0,0.0
7494,mg,F,4.4,1.4
7495,la,F,41.9,17.2
7496,cb,M,30.841825,11.6
7497,kd,M,94.4,86.03404
7498,jg,F,3.6,1.4
7499,gd,M,4.6,27.518337
7500,gf,M,26.8,47.7
7501,ek,F,4.2,0.2
7502,he,M,29.7,50.7
7503,hm,F,52.0,9.7
7504,eg,F,22.8,17.8
7505,ei,M,8.4,33.9
7506,aa,M,53.5,51.8
7507,kl,F,7.5,2.9
7508,ih,F,1.3,0.1
7509,mh,M,6.4,68.4
7510,ff,M,0.5,73.2
7511,if,F,2.5,1.1
7512,ll,M,50.48142,93.1
7513,fh,F,49.1,37.1
7514,ai,F,33.2,19.0
7515,af,M,16.7,30.5
7516,be,M,5.6,2.6
7517,ah,F,25.1,11.0
7518,jn,F,41.5,23.8
7519,hb,F,6.6,6.0
7520,kd,F,23.0,8.1
7521,hd,M,34.3,53.8
7522,ej,F,7.8,2.3
7523,fm,M,18.5,70.0
7524,jm,F,0.7,0.4
7525,nn,F,21.8,21.4
7526,gj,M,77.3,0.26021156
7527,db,M,33.3,61.53925
7528,km,M,40.7,55.03667
7529,ne,M,56.3,26.562773
7530,dd,M,8.0,14.8
7531,ee,F,4.8,4.6
7532,dj,F,40.1,12.7
7533,hk,F,49.3,6.7
7534,kk,F,5.2,1.8
7535,gi,F,60.0,57.9
7536,fj,M,31.991953,59.1
7537,di,M,37.1,55.331062
7538,jh,F,1.8,1.2
7539,hi,F,30.3,10.2
7540,kb,M,7.9,38.018215
7541,hm,M,37.4,3.2
7542,ef,M,43.5,30.9
7543,eb,F,1.0,0.1
7544,de,F,68.4,53.3
7545,aa,M,75.5,69.7
7546,cj,M,34.8,18.9
7547,eh,M,9.7,6.6
7548,ia,F,9.2,4.5
7549,li,M,0.2,12.1
7550,ed,M,67.4,78.6
7551,am,M,11.718848,75.2
7552,kl,M,80.7,14.965155
7553,ig,M,83.0,1.0
7554,il,M,18.6,7.4
7555,kd,F,13.1,0.5
7556,cd,F,15.1,2.3
7557,df,M,11.5,35.528736
7558,ba,M,30.2,12.2
7559,ii,F,11.6,1.7
7560,il,F,19.8,4.5
7561,kh,M,1.6,75.0
7562,la,M,92.0,63.4
7563,da,M,44.6,83.3
7564,jb,F,6.2,0.1
7565,jf,F,6.8,1.1
7566,hf,M,10.4,8.0
7567,je,M,30.7,23.5
7568,jb,F,5.4,2.6
7569,ek,M,61.29023,79.4
7570,dd,F,29.8,0.2
7571,bb,F,2.5,1.2
7572,gk,F,51.6,27.0
7573,kf,F,1.6,0.7
7574,ca,F,8.9,6.2
7575,ef,F,4.0,1.0
7576,ie,M,0.6,22.5
7577,bc,M,35.331482,22.392921
7578,jl,M,56.8,28.8
7579,cf,M,18.959715,75.3
7580,ae,F,22.2,12.6
7581,gc,M,30.36549,75.9
7582,jf,M,65.3,12.2
7583,fj,M,19.296375,40.9
7584,di,F,24.1,0.1
7585,ng,F,43.6,15.9
7586,hi,F,22.9,14.9
7587,bg,M,31.4,17.51326
7588,ed,F,8.6,2.4
7589,jj,M,4.4,32.5
7590,cb,M,31.1,81.3
7591,ag,M,18.5,81.03193
7592,mf,M,72.7,10.919505
7593,if,M,23.7,66.3
7594,gc,M,45.2,57.2
7595,mj,F,1.2,0.1
7596,ib,M,5.6,29.7
7597,jc,F,0.4,0.1
7598,fj,F,7.7,1.6
7599,hj,F,1.5,0.2
7600,mh,F,38.0,37.7
7601,id,M,70.1,74.9
7602,en,M,14.811315,58.4
7603,cc,F,22.5,1.9
7604,ic,M,24.6,40.5
7605,fn,F,12.3,2.8
7606,cc,F,1.5,1.1
7607,df,F,98.4,79.7
7608,bf,F,29.1,13.7
7609,dh,F,24.9,17.9
7610,ij,M,14.5,48.9
7611,ba,M,28.3,46.4
7612,nn,F,6.5,4.3
7613,hh,M,16.3,76.9
7614,ff,F,31.7,6.3
7615,gm,F,24.9,12.4
7616,nn,F,4.6,1.7
7617,nh,F,2.9,0.5
7618,mc,M,14.1,21.3
7619,be,F,9.0,0.4
7620,dm,M,42.8,85.0
7621,kb,F,26.92555,69.3
7622,kg,F,8.1,0.3
7623,en,M,96.803444,64.74186
7624,ed,F,5.1,2.3
7625,eh,F,32.4,22.4
7626,ll,M,55.55866,83.3
7627,ck,M,3.1,49.7
7628,hl,M,0.3,1.8
7629,aj,M,94.8,57.1
7630,cj,M,17.7,7.1
7631,kl,M,33.5,40.3
7632,lf,M,91.7,59.6
7633,kd,M,42.6,25.0
7634,ie,F,2.1,1.0
7635,ah,M,44.0,20.3
7636,ei,F,14.1,12.9
7637,ea,F,20.9,10.0
7638,ji,F,3.6,0.6
7639,hj,M,15.4,60.790676
7640,bh,F,27.7,23.3
7641,ll,M,28.146036,78.0
7642,hk,M,7.3,27.4
7643,ae,M,85.6,85.3
7644,ba,M,59.6,75.3
7645,if,M,23.528316,92.4
7646,lk,M,43.9,15.6
7647,aj,M,20.3,12.4
7648,mb,F,16.5,1.1
7649,ib,F,0.1,0.0
7650,aa,M,9.9,45.110794
7651,li,M,51.7,35.1
7652,gc,M,9.6,61.1
7653,bc,F,5.2,1.0
7654,cl,M,29.3,37.0
7655,la,F,41.6,4.2
7656,ak,M,37.073193,4.912557
7657,ed,F,10.1,7.8
7658,lk,F,22.7,0.8
7659,jh,M,89.7,45.8
7660,ki,F,63.5,21.7
7661,ld,F,2.3,0.7
7662,jk,M,2.1,12.7
7663,kk,F,3.9,3.5
7664,ke,F,24.515194,36.7
7665,fh,F,26.7,22.1
7666,dm,F,35.8,3.4
7667,ln,F,37.3,1.0
7668,am,M,70.3,17.1
7669,fl,M,52.7,19.3
7670,nc,F,13.2,1.2
7671,nh,F,7.5,1.1
7672,gi,M,3.0249445,57.4
7673,ia,F,0.4,0.3
7674,eg,F,37.8,6.3
7675,cb,F,1.6,0.8
7676,ba,F,48.4,44.9
7677,bl,M,32.7,51.3
7678,fc,M,41.7,16.2
7679,lm,F,24.3,14.7
7680,ba,M,1.2,12.0
7681,fb,F,9.0,5.8
7682,li,F,25.3,21.2
7683,ia,M,15.4,74.5
7684,kh,M,29.8,74.20299
7685,mm,M,10.9,7.8
7686,da,F,12.0,4.3
7687,ma,F,3.3,2.7
7688,jk,M,51.5,27.933805
7689,df,M,97.9,20.198402
7690,ig,M,60.5,47.7
7691,el,M,32.3,54.5
7692,em,F,65.8,50.7
7693,gc,F,1.8,0.9
7694,jl,M,18.1,44.1
7695,jg,M,12.4,87.0
7696,ji,F,1.9,0.1
7697,il,M,78.8,28.8
7698,ib,M,96.0,51.8
7699,ak,F,18.5,12.5
7700,nj,M,42.2,29.1
7701,jg,M,36.3,48.8
7702,bl,M,38.4,78.3
7703,ja,F,23.6,0.4
7704,il,F,18.8,12.5
7705,bh,F,8.6,0.5
7706,di,F,11.5,2.4
7707,cg,F,21.7,16.4
7708,fm,M,22.2,68.5
7709,ag,F,0.1,0.0
7710,di,M,30.0,52.183926
7711,jf,M,47.2,3.6
7712,bf,M,12.4,45.8
7713,de,M,1.8,60.9
7714,ie,M,19.5,36.8
7715,ii,F,40.0,31.5
7716,cc,F,2.7,0.4
7717,ii,F,6.9,4.9
7718,cj,M,33.0,21.5
7719,ai,F,31.1,5.8
7720,dg,M,48.4,16.2
7721,dn,M,24.7,31.6
7722,fh,F,11.6,9.9
7723,fb,F,54.5,26.8
7724,mh,F,0.1,0.0
7725,mb,M,36.3,70.9
7726,bb,F,21.3,20.1
7727,he,F,24.6,17.0
7728,eb,M,82.6,20.7
7729,ml,F,12.2,6.3
7730,ge,M,13.9,95.8
7731,en,M,18.8,19.1
7732,hb,F,10.6,7.1
7733,jn,M,48.7,31.0
7734,nk,F,23.0,1.3
7735,jb,F,23.7,9.0
7736,hk,M,85.421616,96.7
7737,ng,F,13.8,9.0
7738,md,F,9.6,0.8
7739,kd,F,1.6,0.8
7740,nb,F,26.5,12.0
7741,dn,F,29.1,3.1
7742,hg,F,7.7,2.2
7743,fc,F,16.0,2.0
7744,cd,M,5.1,50.3
7745,ff,M,18.9,40.7
7746,ii,M,44.6,6.3
7747,jg,F,43.1,7.4
7748,hl,M,23.7,5.8
7749,ea,F,20.4,5.4
7750,gl,F,15.3,3.3
7751,ie,F,1.0,0.7
7752,md,F,53.8,13.8
7753,fn,F,5.4,1.0
7754,mc,M,58.890972,99.5
7755,dn,M,57.36714,92.3
7756,mb,M,1.6,72.2
7757,hl,M,43.6,23.3
7758,ig,M,0.3,12.6
7759,bk,M,24.2,70.5
7760,ma,M,17.3,5.2
